-1.01437	-0.607715	1.73261	1.55255	2.35	-0.831199	-0.156087	
-1.01402	-0.607416	1.73243	1.55223	2.3499	-0.831049	-0.156125	
-1.01366	-0.607115	1.73226	1.55191	2.34979	-0.830888	-0.156169	
-1.01331	-0.606818	1.73208	1.55159	2.34968	-0.830742	-0.156205	
-1.01296	-0.606518	1.73192	1.55127	2.34957	-0.830581	-0.156247	
-1.01261	-0.606218	1.73174	1.55095	2.34947	-0.830421	-0.156285	
-1.01225	-0.60592	1.73157	1.55063	2.34936	-0.830271	-0.156324	
-1.0119	-0.605618	1.7314	1.55031	2.34925	-0.830111	-0.156368	
-1.01155	-0.605315	1.73122	1.54999	2.34914	-0.829953	-0.156406	
-1.0112	-0.605017	1.73105	1.54967	2.34904	-0.829804	-0.156442	
-1.01084	-0.604718	1.73088	1.54935	2.34894	-0.829656	-0.156479	
-1.01048	-0.604418	1.73071	1.54903	2.34882	-0.829494	-0.156525	
-1.01013	-0.604119	1.73053	1.54871	2.34872	-0.829335	-0.156563	
-1.00978	-0.603819	1.73036	1.54839	2.34861	-0.829185	-0.156603	
-1.00943	-0.603519	1.73019	1.54807	2.3485	-0.829031	-0.156639	
-1.00907	-0.603222	1.73002	1.54775	2.34839	-0.828874	-0.156679	
-1.00872	-0.60292	1.72985	1.54743	2.34829	-0.828723	-0.15672	
-1.00837	-0.602622	1.72967	1.54711	2.34818	-0.828565	-0.156756	
-1.00801	-0.602321	1.7295	1.54679	2.34807	-0.828403	-0.1568	
-1.00766	-0.602023	1.72933	1.54647	2.34797	-0.828253	-0.156834	
-1.00731	-0.601724	1.72916	1.54615	2.34786	-0.828103	-0.156874	
-1.00695	-0.601424	1.72898	1.54583	2.34775	-0.827943	-0.156917	
-1.0066	-0.601121	1.72881	1.54551	2.34765	-0.827795	-0.156953	
-1.00624	-0.600821	1.72864	1.54518	2.34754	-0.827634	-0.15699	
-1.00589	-0.600525	1.72847	1.54487	2.34743	-0.827486	-0.157027	
-1.00554	-0.600225	1.72829	1.54455	2.34732	-0.827324	-0.157066	
-1.00518	-0.599926	1.72812	1.54423	2.34722	-0.827165	-0.157108	
-1.00483	-0.599626	1.72795	1.54391	2.34711	-0.827006	-0.157149	
-1.00447	-0.599328	1.72777	1.54359	2.34701	-0.826856	-0.157185	
-1.00412	-0.599029	1.7276	1.54327	2.3469	-0.826705	-0.157222	
